"Area","Boro","AreaType","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01"
"Nolita","Manhattan","Neighborhood","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1505000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"North Corona","Queens","Neighborhood","","","","","","","","","273780","","","430000","","","","","","","","","","300500","","","","","","240000","","","","2e+05","","451800","","","280000","188000","","","","","378000","146500","150000","125000","","199000","","","","146500","125000","","217625","218000","325000","315500","","","154500","","","","105000","363012","198000","155000","","","3e+05","237000","","240000","","372000","","","430000","319500","","602517","","","160000","","438000","249000","495000","","200500",""
"North New York","Bronx","Neighborhood","","","","362000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Park Slope","Brooklyn","Neighborhood","615000","752000","574750","719000","607000","585000","775000","549000","572000","720876","630500","621000","632000","650200","543132.5","600383.5","781843.5","812500","750000","712500","605000","650000","685000","650000","534000","649050","7e+05","690000","655000","582500","730000","673541.5","630000","639500","504895","580000","559180","480000","620611","759000","888538","715000","770000","710000","667500","765000","735999.5","675000","777943","654000","8e+05","745000","927000","905000","793003.5","640000","686159","792500","858665","968760","904130","855415","681250","960000","810000","825500","805000","729000","1010000","842500","867500","1099000","820500","755000","925000","950000","1060000","815000","899000","915000","967500.5","1055100","907500","979000","751843.5","951000","798750","955000","975000","970000","1087500","1027500"
"Parkchester","Bronx","Neighborhood","","","","","","","113000","","","","135000","105000","147000","106000","","84800","","121000","72500","","84550","142000","","","","","95000","166000","103000","103750","","","","107500","","82900","91000","","118000","1e+05","92000","124000","","78750","","","128500","","","","","120000","","","","1e+05","90000","","112000","","150000","","168000","80000","","","123225","184900","88250","","129075","75000","","","","98000","92500","121200","115000","","","","110000","115000","","125000","111500","118000","136500","113000","125000",""
"Pelham Parkway","Bronx","Neighborhood","","","","","","","","","","","","","","","","111361","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150000","","","","","","","","","","","","","","","","","","","","102500","","","","","","","","","","","","537500","","","","","","","","141000","","","","","129500","112500"
"Prospect Heights","Brooklyn","Neighborhood","","","","510000","690611.5","640000","583340","628260","524250","554200","446160","","398502","468729.5","495000","446000","605520.5","689500","590585","497000","","483500","502395","682500","611000","512500","","726250","921500","562500","480000","324000","456250","469725","542000","615000","630000","775113","634500","543750","778750","469000","590000","562009.5","450000","858000","572000","516000","635000","593000","458750","615000","852000","569000","617000","530000","749000","8e+05","1057500","631000","879500","935750","735000","683500","870000","733643","620000","815000","868000","735000","687850","799500","721000","550817","782500","653000","1450000","731500","972500","725000","570000","685000","","660000","1170000","","672500","970000","","675000","743000","912000"
"Prospect Lefferts Gardens","Brooklyn","Neighborhood","","","","","","","","","","","","","","","","","163405.5","","","","","","","","","","","347295","","","","","","","","","","","395000","463500","","","","","","","","","","512475","373650","787500","649000","","452500","","","","870000","345000","","236663","322725","645545","329550","423115","389000","","","","","","","325000","604000","130000","725000","","560000","","","","","","","","","","","","",""
"Prospect Park South","Brooklyn","Neighborhood","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","392500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queens Village","Queens","Neighborhood","","","","","","","","","","","","","","420000","","","","","","","","","205842","","","245000","","","","","","","","","","","","","","2e+05","","350000","","","","","","","","","","","","350000","","","","413500","","","","","","445000","","485000","451250","413000","365000","","365000","452500","388000","480000","363750","452000","493250","","395000","525000","","460000","","460000","475000","485000","","5e+05","","525000","586000","530000"
